,abstract,date,pmid,title
485,"we previously reported the beneficial effects of combination therapy of interferon (ifn) alpha/5 fluorouracil (fu) for advanced hepatocellular carcinoma (hcc) with tumour thrombi in the major portal branches. this report describes the results of longer follow up and includes more than double the number of patients relative to the original report, and evaluates the role of ifn alpha/type 2 interferon receptor (ifnar2) expression on the response to the combination therapy. the study subjects were 55 patients with advanced hcc and tumour thrombi in the major branches of the portal vein (vp3 or 4). they were treated with at least two courses of ifn alpha/5 fu without major complication. in the 55 patients, 24 (43.6%) showed objective response (eight (14.5%) showed complete response, 16 (29.1%) partial response), four (7.3%) showed no response, and 27 (49.1%) showed progressive disease. immunohistochemically, ifnar2 expression was detected in nine out of 13 (69.2%) patients. there was significant difference in the time to progression survival (p = 0.0002) and the overall survival (p < 0.0001) between ifnar2 positive and  negative cases. there was a significant correlation between ifnar2 expression and response to ifn alpha/5 fu combination therapy in univariate analysis (p = 0.0070). ifn alpha/5 fu combination therapy is a promising modality for advanced hcc with tumour thrombi in the major portal branches and could significantly depend on ifnar2 expression.",2005,16106266,Treatment of hepatocellular carcinoma with major portal vein thrombosis by combined therapy with subcutaneous interferon-alpha and intra-arterial 5-fluorouracil; role of type 1 interferon receptor expression.
486,"pg201, an ethanol extract from a mixture of 12 herbs, has strong antiarthritic activity. to understand the molecular mechanisms underlying its anti inflammatory effects, pg201 mediated suppression of inflammatory mediators was studied in raw264.7, a mouse macrophage cell line. pg201 decreased the expression of interleukin (il) 1β, il 6 and cc chemokine ligand 2, but not tumor necrosis factor α, at the protein and mrna levels in lipopolysaccharide stimulated raw264.7 cells. results from a gel retardation assay indicated that pg201 substantially reduced the dna binding activity of the activator protein 1 and cyclic adenosine monophosphate responsive element binding protein transcription factors, but not nuclear factor κb. western blot and northern blot analyses showed that pg201 reduced inducible nitric oxide synthase and cytosolic phospholipase a(2) (cpla(2)) protein expression, but did not affect mrna expression, ultimately resulting in decreased nitric oxide and prostaglandin e(2). the protein expression of cpla(2) was decreased by pg201 in the presence of cycloheximide, an inhibitor of translation, suggesting that pg201 may facilitate the degradation of cpla(2). taken together, these results suggest that pg201 selectively affects the expression of proteins that play key roles in the inflammatory response at transcriptional and post translational levels.",2012,22442340,"Suppressive effects of PG201, an antiarthritic botanical formulation, on lipopolysaccharide-induced inflammatory mediators in Raw264.7 cells."
487,"the alpha subunit of a voltage sensitive sodium channel characteristic of denervated rat skeletal muscle was cloned and characterized. the cdna encodes a 2018 amino acid protein (skm2) that is homologous to other recently cloned sodium channels, including a tetrodotoxin (ttx) sensitive sodium channel from rat skeletal muscle (skm1). the skm2 protein is no more homologous to skm1 than to the rat brain sodium channels and differs notably from skm1 in having a longer cytoplasmic loop joining domains 1 and 2. steady state mrna levels for skm1 and skm2 are regulated differently during development and following denervation: the skm2 mrna level is highest in early development, when ttx insensitive channels predominate, but declines rapidly with age as skm1 mrna increases; skm2 mrna is not detectable in normally innervated adult skeletal muscle but increases greater than 100 fold after denervation; rat cardiac muscle has abundant skm2 mrna but no detectable skm1 message. these findings suggest that skm2 is a ttx insensitive sodium channel expressed in both skeletal and cardiac muscle.",1990,2155010,Primary structure and expression of a sodium channel characteristic of denervated and immature rat skeletal muscle.
488,"gastrointestinal mucosal blood flow is dependent on a balanced release of vasoactive substances from endothelium. nitric oxide (no) may increase the flow by vasodilatation and/or antiaggregation whereas endothelin (et) may decrease it by vasoconstriction and aggregation. no and et may have counterbalancing effects on each other in tissue damage. in order to test this hypothesis, in this study on rats, l arginine to increase no levels and n(g) nitro l arginine methyl esther (l name) to decrease no levels have been used in an intestinal ischemia/ reperfusion (i/r) injury model and portal vein et response was evaluated. lipid peroxidation product measurements and chemiluminescence (cl) studies were also carried out in ileal tissue samples. intestinal i/r injury caused an increase in portal venous et levels with levels of 9.4+/ 0.5 fmol/ml in sham operation and 14.8+/ 1.6 fmol/ml in i/r group. et level of l name sh group was lower than that of sham operated group and also et level of l name i/r group was lower than that of i/r group. this yielded the conclusion that inhibition of no synthesis decreases portal venous et levels in this model. increased no production by l arginine caused increased et levels in sham operated groups but this effect was not observed in i/r injury state. this study also showed that inhibition of no synthesis has a protective role by reducing the reperfusion damage in this model. it is likely that no and et have a feedback effect on each other both under physiologic conditions and i/r injury.",1998,10102383,Nitric oxide and endothelin relationship in intestinal ischemia/reperfusion injury.
489,the aim of this study was to evaluate the concentration of malondialdehyde mda (one of the lipid peroxidation products) in blood plasma and erythrocytes and the activity of superoxide dismutase (sod) and catalase (cat) in red blood cells of patients with a primary brain tumour. the study was performed on 24 patients with a brain tumour (9 with glioblastoma and 15 with asrocytoma) treated in the department and clinic of neurosurgery and neurotraumatology at ludwik rydygier medical university in bydgoszcz. the control group consisted of 20 healthy volunteers. a statistically significant higher mda concentration in erythrocytes and blood plasma and a higher activity of sod or cat in erythrocytes was shown in patients with a brain tumour as compared to the control group. neither the histological type of tumour nor surgery has an effect on the tested biochemical parameters.,2007,16773213,Lipid peroxidation and activity of some antioxidant enzymes in patients with glioblastoma and astrocytoma.
490,"a new cfd (computational fluid dynamics) simulator for an o3/uv reactor where ozone dissolved water flows under the irradiation of uv, has been developed by combining a fluid dynamics model with a complex radical reaction model. the radical reaction model used in this simulator was found to be reasonable, because the results obtained from the simulation of a completely stirred tank reactor (cstr) system were in good agreement with the experimental results, e.g., the concentrations of total organic carbon (toc), hydrogen peroxide and dissolved ozone obtained from a lab scale cstr. furthermore, by using this cfd simulator, the distributions of substances such as hydroxyl radical (oh*) and hydrogen peroxide in the o3/uv reactor have been investigated. these distributions showed that this cfd simulator was considered to be reasonable. in addition, the simulation results suggested that conventional reactors were not optimized.",2002,12523726,Development of a simulator for ozone/UV reactor based on CFD analysis.
491,,1989,2510473,"Enzymes involved in penicillin, cephalosporin and cephamycin biosynthesis."
492,,1978,735125,Regulation of carotenogenesis in Blakeslea trispora.
493,"fish gill importance in toxicants uptake, bioconcentration and excretion allied to meagre knowledge on branchial damage/protection responses substantiate this study. five critical sites in ria de aveiro (portugal) were assessed in comparison with a reference site (torreira), focusing on liza aurata gill antioxidant defences versus damage (oxidative and genetic). only in barra fish displayed damage (lipid peroxidation) though no differences were found in antioxidants. in all other sites, except rio, antioxidant alterations were found. thus, fish from gafanha, laranjo and vagos showed higher total glutathione, glutathione peroxidase and catalase. higher glutathione reductase and glutathione s transferase activity was also found in the first and the last sites, respectively. in laranjo, metallothionein levels were higher though lower in gafanha and vagos. in general, damage was not accompanied by defences weakening confirming that predicting damage based on antioxidants depletion is not straightforward. the integrated biomarker response index ranked sites as: gafanha>barra>laranjo>vagos>rio>torreira.",2009,19042064,"Contamination assessment of a coastal lagoon (Ria de Aveiro, Portugal) using defence and damage biochemical indicators in gill of Liza aurata--an integrated biomarker approach."
494,"cell cycle withdrawal involves several transcription factors such as e2fs members that play a key role in cell growth control. here we describe a novel putative bzip transcription factor isolated from the retina and involved in neuronal proliferation arrest at the terminal differentiation: patf (proliferation arrest transcription factor). we show that patf associates with e2f4 protein and interacts with the e2f consensus site. patf expression increases with establishment of quiescent state. furthermore, the nuclear patf localization like e2f4, depends on cell growth arrest. the decrease of patf amount, using a retroviral antisense strategy, results in pursued neuroretina cell mitosis. our results indicate that patf could be a new molecular signal implicated in the final neuronal cell cycle withdrawal.",2001,11571645,Cloning and characterization of a novel transcription factor involved in cellular proliferation arrest: PATF.
495,"self propelled artificial objects are at the current forefront of research. we demonstrate here that the motion directionality of millimetre sized self propelled objects is highly dependent on the reynolds numbers (re) of the systems, with emphasis on the ""intermediate"" re region (1 600). our findings have strong implication on the motion controllability and predictability of these independent self propelled systems.",2012,22421889,Reynolds numbers exhibit dramatic influence on directionality of movement of self-propelled systems.
496,"a network of activated signaling cascades, transcription factors and their coordinated interactions promote tumorigenesis. in addition, the role of inflammation in tumor evolution is certain. inflammatory mediators working via intracellular signaling cascades regulate hubs of transcriptional networks that are required for the survival and rapid growth of malignant cells, and number of inflammatory stimuli far exceeds the limited list of transcription factors that they activate. therefore, inhibiting transcription factors that act at the intersections of several deregulated signaling pathways should hold promise for generating anticancer agents. this review aims to discuss how inflammation mediated transcription factor interplay could be targeted to develop a more effective therapy against glioblastoma multiforme (gbm)   the most aggressive malignant brain tumor.",2011,21920453,Targeting inflammation-induced transcription factor activation: an open frontier for glioma therapy.
497,"to understand whether the p53 regulated mdm2 gene expression was altered by the epstein barr virus (ebv) in nasopharyngeal carcinoma (npc), the npc tw01 cell line was infected by ebv through iga receptor mediated endocytosis. the mdm2 gene was expressed only in a small fraction of the npc cell population and could be enhanced in the ebv infected (ebv+) cells. in the animals bearing ebv+ and ebv  npc xenografts, the mdm2+ cells only appeared in clusters in both ebv+ and ebv  tumors with stronger expression in ebv+ cells. cotransfection of pmdm2 luc plus psv40 p53 plus pcmv lmp1 in the npc tw06 line that had p53 heterozygous point mutation showed stronger mdm2 promoter activity than cells cotransfected with pmdm2 luc plus psv40 p53, but no mdm2 promoter activity was seen in cells cotransfected with pmdm2 luc plus pcmv lmp1. only the ebv lmp1 but not the ebv lmp2a gene could enhance p53 to upregulated mdm2 expression. tumor cells in npc biopsy specimens revealed similar mdm2 expression as in the animal model. it is concluded that although ebv can indirectly enhance mdm2 gene expression in tumor cells that express this gene, it cannot turn on or directly regulate mdm2 expression in cells that do not express this gene. in other words, ebv plays a role as an enhancer in npc tumorigenesis.",2004,15448710,MDM2 expression in EBV-infected nasopharyngeal carcinoma cells.
498,"to investigate the bioactivities of crude n hexane, ethyl acetate and methanol extracts of aerial part of boerhavia diffusa linn. (b. diffusa) and its phytochemical analysis.
the identification of phytoconstituents and assay of antioxidant, thrombolytic, cytotoxic, antimicrobial activities were conducted using specific standard in vitro procedures.
the results showed that the plant extracts were a rich source of phytoconstituents. methanol extract showed higher antioxidant, thrombolytic activity and less cytotoxic activity than those of n hexane and ethyl acetate extracts of b. diffusa. among the bioactivities, antioxidant activity was the most notable compared to the positive control and thus could be a potential rich source of natural antioxidant. in case of antimicrobial screening, crude extracts of the plant showed remarkable antibacterial activity against tested microorganisms. all the extracts showed significant inhibitory activity against candida albicuns, at a concentration of 1000 µg/disc.
the present findings suggest that, the plant widely available in bangladesh, could be a prominent source of medicinally important natural compounds.",2012,23569993,Phytochemical screening and in vitro bioactivities of the extracts of aerial part of Boerhavia diffusa Linn.
499,"weanling, female sprague  dawley rats were divided into 14 separate groups. three of these groups were administered 0.5, 2.0 or 5.0 ppm selenium (se) in the drinking water for 10 weeks. three groups received intraperitoneal injections of 1, 5 or 10 mg/kg diethylnitrosamine (den) twice weekly for 10 weeks. the remaining animals received 0.150% or 0.316% ethylurea (eu) in the feed and 1 or 10 ppm nitrite as sodium nitrite in the drinking water either alone or in combination. separate groups of rats treated with cyclophosphamide (cy) were included as positive immuno suppressed controls. following the 10 week chemical exposure period, splenic natural killer (nk) cell mediated cytotoxicity was assessed by a 4 h chromium release assay using yac 1 tumor cells as targets. the nk cell cytotoxic response was enhanced in both the low and medium dose selenium exposed groups. in contrast, rats exposed to 0.316% eu + 10 ppm no2 had significantly depressed nk cell activity. cy treatment also resulted in a significant reduction of splenic nk cell cytotoxicity.",1984,6611196,"Alteration of natural killer cell-mediated cytotoxicity in rats treated with selenium, diethylnitrosamine and ethylnitrosourea."
500,"kemp et al. (1995) could detect delta9 tetrahydrocannabinol (delta9 thc), cannabinol and cannabidiol, three neutral cannabinoids, and the metabolites of delta9 thc in urine samples of cannabis consumers. in this study we aimed to identify cannabigerol (cbg), which in its acid form is one of the main intermediate compounds of the biosynthesis of cannabinoids in hemp, in authority urine samples of proved cannabis consumers. for this reason we applied the modified method of kemp et al. to test for cbg, since enzymatic hydrolysis seems to be necessary for the formation of free neutral cannabinoids from conjugates. after extraction, derivatisation with n methyl n (trimethylsilyl)trifluoroacetamide (mstfa) and gc/ms analysis, peaks of characteristic fragment ions (m/z 337, 391, 377 and 460) of bis trimethylsilyl derivative of cbg appeared at 12.48 minutes in both real sample and the urine spiked with cbg. it shows that cbg enters the body during cannabis smoking and is excreted with urine in a conjugated form, like other neutral cannabinoids. analysing the chromatograms of hydrolysed and trimethylsilylated extracts we checked for the presence of cbg metabolites based on the study of harvey and brown (1990). we detected a compound in the cannabis consumers' urine extracts, having fragment ions at m/z 425, 465 and 479 at the retention time of 14.19 min which is presumed to be the 4"" hydroxy cbg or 5"" hydroxy cbg. however, it could not be identified completely by gc/ms. this peak was absent in non hydrolysed urine samples, indicating that it is also excreted in glucuronated form.",2010,20614687,Detection of cannabigerol and its presumptive metabolite in human urine after Cannabis consumption.
501,"there are conflicting reports on the role of reactive oxygen species (ros) i.e. beneficial vs. harmful, in vascular endothelium. here, we aim to examine whether duration of exposure to ros and/or subcellular ros levels are responsible for the apparently paradoxical effects of oxidants on endothelium.
we have recently generated binary (tet on/off) conditional transgenic mice (tet nox2:ve cad tta) that can induce 1.8 ± 0.42 fold increase in nadph oxidase (nox) derived ros specifically in vascular endothelium upon withdrawal of tetracycline from the drinking water. animals were divided in two groups: one exposed to high endogenous ros levels for 8 weeks (short term) and the other for 20 weeks (long term). using endothelial cells (ec) isolated from mouse hearts (mhec), we demonstrate that both short term and long term increase in nox ros induced ampk mediated activation of enos. interestingly, although endothelium dependent nitric oxide (no) mediated coronary vasodilation was significantly increased after short term increase in nox ros, coronary vasodilation was drastically reduced after long term increase in ros. we also show that short term ros increase induced proliferation in ec and angiogenic sprouting in the aorta. in contrast, long term increase in cytosolic ros resulted in nitrotyrosine mediated inactivation of mitochondrial (mito) antioxidant mnsod, increase in mito ros, loss of mitochondrial membrane potential (δψm), decreased ec proliferation and angiogenesis.
the findings suggest that nox derived ros results in increased mito ros. whereas short term increase in mito ros was counteracted by mnsod, long term increase in ros resulted in nitrotyrosine mediated inactivation of mnsod, leading to unchecked increase in mito ros and loss of δψm followed by inhibition of endothelial function and proliferation.",2017,28088753,Mitochondrial redox plays a critical role in the paradoxical effects of NAPDH oxidase-derived ROS on coronary endothelium.
502,,1961,13877170,[Trial treatment of hypertension with a new hypotensive drug (trimethyl-tetramethyl-hexadecanone-olbenzoquinone or tocopherylquinone)].
503,"the sigmas subunit of escherichia coli rna polymerase holoenzyme (esigmas) is a key factor of gene expression upon entry into stationary phase and in stressful conditions. the selectivity of promoter recognition by esigmas and the housekeeping esigma70 is as yet not clearly understood. we used a genetic approach to investigate the interaction of sigmas with its target promoters. starting with down promoter variants of a sigmas promoter target, osmep, altered in the  10 or  35 elements, we isolated mutant forms of sigmas suppressing the promoter defects. the activity of these suppressors on variants of osmep and ficp, another target of sigmas, indicated that sigmas is able to interact with the same key features within a promoter sequence as sigma70. indeed, (i) sigmas can recognize the  35 element of some but not all its target promoters, through interactions with its 4.2 region; and (ii) amino acids within the 2.4 region participate in the recognition of the  10 element. more specifically, residues q152 and e155 contribute to the strong preference of sigmas for a c in position  13 and residue r299 can interact with the  31 nucleotide in the  35 element of the target promoters.",2004,14704342,"Interactions between the 2.4 and 4.2 regions of sigmaS, the stress-specific sigma factor of Escherichia coli, and the -10 and -35 promoter elements."
504,"we have maleylated proteins to target macrophage specific scavenger receptors and have used this system to study changes in the epitopes and immunogenicity of such proteins. we show that maleylation of diphtheria toxoid (dt) induces targeting to macrophage scavenger receptors and enhances its immunogenicity. dt does not evoke detectable serum ab responses upon injection as soluble protein. however, maleylated dt (mdt) does generate a significant ab response. furthermore, immunization with soluble mdt leads to a better t cell proliferative response in vitro than immunization with dt can generate, thereby demonstrating that maleylation leads to enhanced t cell immunogenicity in vivo. we also find that maleylation disrupts the native b cell epitopes of dt and creates new epitopes, because antisera to dt and mdt do not cross react. at least some of the new epitopes generated are maleylation specific, because antisera against various maleylated proteins do cross react. in contrast, maleylation does not significantly modify the repertoire of t cell epitopes generated from dt, because t cells generated by either dt or mdt immunization are cross reactive, and both dt and mdt can stimulate t cells that are specific for single synthetic dt peptide. maleylated proteins are better presented in vitro than are their native counterparts, and this enhancement of presentation is blocked by unrelated maleylated proteins. these results suggest that ags targeted to scavenger receptors on macrophages by maleylation are better presented to t cells and are immunogenic in vivo without adjuvant.",1995,7527810,Modulation of immunogenicity and antigenicity of proteins by maleylation to target scavenger receptors on macrophages.
505,"autism is a developmental disorder characterized by social and emotional deficits, language impairments and stereotyped behaviors that manifest in early postnatal life. this study aims to clarify the role of selected ions related to energy metabolism as a consequence of oxidative stress in the deterioration accompanied autism.
malonaldehyde as measure of lipid peroxidation, na(+)/k(+) ion pump (atpase), together with the concentrations of na(+), k(+), mg(2+), ca(2+) and pb(2+) were determined in plasma of 30 saudi autistic patients and compared to 30 age matching control samples.
the obtained data recorded that saudi autistic patients have a remarkable higher activities of na(+)/k(+) atpase and high levels of lipid peroxidation compared to control. in addition, they have significantly elevated levels of k(+) and pb(2+) while ca(2+) recorded a significantly lower level compared to age matching control subjects. on the other hand both mg(2+) and na(+) were non significantly changed in autistic patients.
alteration of the selected measured ions confirms that oxidative stress and defective mitochondrial energy production could represent the primary causative factor in the pathogenesis of autism.",2010,19781542,Measurement of selected ions related to oxidative stress and energy metabolism in Saudi autistic children.
506,"in this report we show that signals for transcriptional factors are not restricted to the hiv 1 ltr, but are present throughout the hiv 1 genome. furthermore, we identified a sequence, agaacagatg, highly homologous to the x box of class ii mhc genes and located within the tat ivs/env region of hiv 1. double stranded oligonucleotides mimicking the hiv 1 region containing agaacagatg were synthesized and band shift experiments were performed demonstrating that this hiv 1 genomic region binds nuclear proteins. we further demonstrate that the binding of nuclear factors to this tat ivs/env hiv 1 sequence is competed for, in the band shift assay, by the highly homologous x box of the promoter of the human hla dr alpha gene. the presence in the hiv 1 genome of dna sequences homologous or identical to regulatory sequences of cellular genes represents a potential mechanism of predation of dna elements recognized by dna binding proteins.", ,1567183,DNA elements target of transcriptional factors are not restricted to long terminal repeat of human immunodeficiency virus.
507,"two new mixed ligand copper(ii) complexes with diethylenetriamine, 2,2' bipyridine and 1,10 phenanthroline have been synthesized. the crystal and molecular structures of [cu(dien)(phen)](clo(4))(2) and [cu(dien)(bipy)](bf(4))(2) (dien=diethylenetriamine, phen=1,10 phenanthroline, bipy=2,2' bipyridine) were determined by x ray crystallography from single crystal data. these two complexes have similar structures. the epr spectral data also suggest that these complexes have distorted square pyramidal geometry about copper(ii). anti microbial and superoxide dismutase activities of these complexes have also been measured. they show the higher sod activity than the corresponding simple cu(ii) dien/cu(ii) pmdt (pmdt=n,n,n',n',n'' pentamethyldiethylenetriamine) complexes because of a strong axial bond of one of the nitrogen atoms of the alpha diimine. both the complexes have been found to cleave plasmid dna in the presence of co reductants such as ascorbic acid and glutathione.",2005,16257723,"Characterization and biological activities of two copper(II) complexes with diethylenetriamine and 2,2'-bipyridine or 1,10-phenanthroline as ligands."
508,"the secondary structure of seven variant surface glycoproteins (vsgs) of trypanosomes has been determined by raman spectroscopy. they are all predominantly alpha helical, the alpha helix content varying between 50 and 60%. the beta strand content varies between 20 and 25%, and the content of beta turn and nonregular structures is about 25%. for three vsgs the n terminal domain obtained by proteolytic cleavage was found to have essentially the same secondary structure as the complete vsgs. for three vsgs a secondary structure prediction has been performed applying the rules of chou and fasman. in all cases, two long alpha helices extending over about 50 residues or 80 a are predicted in agreement with the x ray diffraction data of freymann et al. [(1984) nature 311, 167 169] and metcalf et al. [(1987) nature 325, 84 86]. the region between the two alpha helical segments exhibits a high potential of beta turns, suggesting that this segment may be exposed on the cell surface and carry major antigenic determinants.",1987,3622761,Secondary structure of the variant surface glycoproteins of trypanosomes.
509,"in recent years, there has been an increasing interest in immunomodulatory therapy as a means to treat various conditions, including infectious diseases. for instance, toll like receptor (tlr) agonists have been evaluated for treatment of genital herpes. however, although the tlr7 agonist imiquimod was shown to have antiviral activity in individual patients, no significant effects were observed in clinical trials, and the compound also exhibited significant side effects, including local inflammation. cytosolic dna is detected by the enzyme cyclic gmp amp (2'3' cgamp) synthase (cgas) to stimulate antiviral pathways, mainly through induction of type i interferon (ifn)s. cgas is activated upon dna binding to produce the cyclic dinucleotide (cdn) 2'3' cgamp, which in turn binds and activates the adaptor protein stimulator of interferon genes (sting), thus triggering type i ifn expression. in contrast to tlrs, sting is expressed broadly, including in epithelial cells. here we report that natural and non natural sting agonists strongly induce type i ifns in human cells and in mice in vivo, without stimulating significant inflammatory gene expression. systemic treatment with 2'3' cgamp reduced genital herpes simplex virus (hsv) 2 replication and improved the clinical outcome of infection. more importantly, local application of cdns at the genital epithelial surface gave rise to local ifn activity, but only limited systemic responses, and this treatment conferred total protection against disease in both immunocompetent and immunocompromised mice. in direct comparison between cdns and tlr agonists, only cdns acted directly on epithelial cells, hence allowing a more rapid and ifn focused immune response in the vaginal epithelium. thus, specific activation of the sting pathway in the vagina evokes induction of the ifn system but limited inflammatory responses to allow control of hsv2 infections in vivo.",2018,29608601,STING agonists enable antiviral cross-talk between human cells and confer protection against genital herpes in mice.
510,"fast liver alkaline phosphatase isoenzyme was measured by cellulose acetate electrophoresis in the sera obtained from 84 patients with specific hepatobiliary diseases and 10 control subjects. the mean value of this isoenzyme in patients with malignant extrahepatic obstruction was 130.58 +/  107.08 u/l, significantly higher than that of patients with benign extrahepatic obstruction (65.63 +/  34.14 u/l), as well as patients with intrahepatic cholestasis and infiltrative liver cancers (65.31 +/  38.11 u/l and 48.47 +/  36.85 u/l, respectively). furthermore, we could not detect this isoenzyme in normal individuals. when 100 u/l was used as a cut off value to discriminate between patients with malignant extrahepatic obstruction and the remaining hepatobiliary disorders, the sensitivity, specificity and accuracy of the test were 63 per cent, 84 per cent and 80 per cent, respectively. it is concluded that the fast liver isoenzyme could be a useful marker in diagnosis of malignant extrahepatic obstruction.",1999,10659568,Fast liver alkaline phosphatase isoenzyme in diagnosis of malignant biliary obstruction.
511,,1979,429310,"Unique uncoupling of the frog erythrocyte adenylate cyclase system by manganese. Loss of hormone and guanine nucleotide-sensitive enzyme activities without loss of nucleotide-sensitive, high affinity agonist binding."
512,"bone marrow derived mesenchymal stromal cells (bm mscs) are a heterogeneous population of cells that differ in size and morphology. bm mscs become committed to the osteogenic lineage as senescence approaches and lose multipotency. nevertheless, little is known about the effects of cell cell interaction between different populations on stemness loss and lineage commitment. the current study aimed to identify mechanisms by which cell cell interactions between heterogeneous bm mscs affect stemness and lineage commitment of multipotent subpopulation. the lineage commitment of primitive multipotent cells was strongly induced in the presence of cytokines secreted by senescent like cells in a cell culture insert system. senescent like cells secreted higher levels of interleukin 6 (il 6) than primitive multipotent cells in a human cytokine array. il 6 induced the lineage commitment and stemness loss in multipotent cells by decreasing sox2 expression. furthermore, we confirmed that il 6 decreased the transcriptional activity of sox2 through up regulation of runx2 and dlx5. we suggest a mechanism by which il 6 modulates the expression of sox2, resulting in decreased multipotency and causing primitive multipotent cells to undergo osteogenic lineage commitment. this is the first study to identify mechanisms in which the cell cell interactions between the different populations play important roles in the stemness loss and lineage commitment of multipotent populations. yoon, d. s., kim, y. h., lee, s., lee, k. m., park, k. h., jang, y., lee, j. w. interleukin 6 induces the lineage commitment of bone marrow derived mesenchymal multipotent cells through down regulation of sox2 by osteogenic transcription factors. ",2014,24719354,Interleukin-6 induces the lineage commitment of bone marrow-derived mesenchymal multipotent cells through down-regulation of Sox2 by osteogenic transcription factors.
513,"cytokines and bacterial lipopolysaccharide (lps) induce the expression of inducible nitric oxide synthase (inos), resulting in the release of nitric oxide (no) from vascular smooth muscle cells. we here demonstrated that disruption of f actin formation by sequestration of g actin with the toxin latrunculin b (lat b) dramatically potentiated lps induced inos mrna and protein expression. we also showed that lat b enhanced interleukin 1beta  andbgr;  and tnfalpha induced no production. lat b by itself had little or no effect on inos expression. cytochalasin d also enhanced lps induced no production. lat b dose dependently enhanced lps induced inos promoter activity but had no effect on the stability of inos mrna. staining of f actin with nitrobenzoxadiazole (nbd) phallacidin demonstrated that lat b significantly impaired f actin stress fiber formation. these data indicate that disruption of the actin cytoskeleton up regulates cytokine induced inos expression via transcriptional regulation. further analysis of the signaling pathway from the actin cytoskeleton to inos expression may yield new insight into the mechanism of inos regulation.",2004,14716207,Disruption of the actin cytoskeleton up-regulates iNOS expression in vascular smooth muscle cells.
514,,1967,4292159,Reconversion of detergent- and sulfhydryl reagent-produced P-420 to P-450 by polyols and glutathione.
515,"the nuclear retinoic acid receptor rar gamma 2 undergoes proteasome dependent degradation upon ligand binding. here we provide evidence that the domains that signal proteasome mediated degradation overlap with those that activate transcription, i.e. the activation domains af 1 and af 2. the af 1 domain signals rar gamma 2 degradation through its phosphorylation by p38mapk in response to ra. the af 2 domain acts via the recruitment of sug 1, which belongs to the 19s regulatory subunit of the 26s proteasome. blocking rar gamma 2 degradation through inhibition of either the p38mapk pathway or the 26s proteasome function impairs its ra induced transactivation activity. thus, the turnover of rar gamma 2 is linked to transactivation.",2002,12110588,Phosphorylation by p38MAPK and recruitment of SUG-1 are required for RA-induced RAR gamma degradation and transactivation.
516,"the biocatalyzed hydrolytic kinetic resolution of 2 , 3 , and 4 pyridyloxirane by the aspergillus niger epoxide hydrolase (eh) has been explored. this was used to perform a gram scale preparation of these epoxides of (s) absolute configuration using a process performed at a concentration as high as 10 g/l (82 mm). all three epoxides have been obtained in a nearly enantiopure form (ee > 98%). interestingly, it was shown that this biotransformation could be achieved using plain water instead of buffer solution, an important improvement as far as downstream processing of an eventual industrial process is concerned. neither of these substrates could be obtained in reasonable enantiomeric purity and yield using the nowadays most efficient metal based catalysts.",2001,11429826,"Microbiological transformations. 47. A step toward a green chemistry preparation of enantiopure (S)-2-, -3-, and -4-pyridyloxirane via an epoxide hydrolase catalyzed kinetic resolution."
517,"iron cardiomyopathy is a lethal complication of transfusion therapy in thalassemia major. nutritional supplements decreasing cardiac iron uptake or toxicity would have clinical significance. murine studies suggest taurine may prevent oxidative damage and inhibit ca2+ channel mediated iron transport. we hypothesized that taurine supplementation would decrease cardiac iron overloaded toxicity by decreasing cardiac iron. vitamin e and selenium served as antioxidant control.
animals were divided into control, iron, taurine, and vitamin e/selenium groups. following sacrifice, iron and selenium measurements, histology, and biochemical analyses were performed.
no significant differences were found in heart and liver iron content between treatment groups, except for higher hepatic dry weight iron concentrations in taurine treated animals (p < 0.03). serum iron increased with iron loading (751 +/  66 vs. 251 +/  54 microg/dl, p < 0.001) and with taurine (903 +/  136 microg/dl, p = 0.03).
consistent with oxidative stress, iron overload increased cardiac malondialdehyde levels, decreased heart glutathione peroxidase (gpx) activity, and increased serum aspartate aminotransferase. taurine ameliorated these changes, but only significantly for liver gpx activity. selenium and vitamin e supplementation did not improve oxidative markers and worsened cardiac gpx activity. these results suggest that taurine acts primarily as an antioxidant rather than inhibiting iron uptake. future studies should illuminate the complexity of these results.",2007,17940334,Antioxidant-mediated effects in a gerbil model of iron overload.
